Code Département,Commune,Correct,Erreur
01,BOURG-EN-BRESSE,6,0
02,LAON,3,0
03,MOULINS,3,1
04,DIGNE-LES-BAINS,0,4
05,GAP,0,1
06,NICE,4,1
07,PRIVAS,0,3
08,CHARLEVILLE-MEZIERES,0,6
09,FOIX,0,7
10,TROYES,4,0
11,CARCASSONNE,3,0
12,RODEZ,0,5
13,MARSEILLE,5,1
14,CAEN,2,0
15,AURILLAC,0,5
16,ANGOULEME,1,0
17,LA ROCHELLE,0,1
18,BOURGES,6,0
19,TULLE,0,6
21,DIJON,7,0
22,SAINT-BRIEUC,4,0
23,GUERET,7,0
24,PERIGUEUX,0,5
25,BESANCON,6,1
26,VALENCE,4,0
27,EVREUX,4,0
28,CHARTRES,1,1
29,QUIMPER,6,0
2A,AJACCIO,6,0
2B,BASTIA,4,1
30,NIMES,4,0
31,TOULOUSE,8,0
32,AUCH,5,1
33,BORDEAUX,3,0
34,MONTPELLIER,3,0
35,RENNES,3,0
36,CHATEAUROUX,4,1
37,TOURS,3,0
38,GRENOBLE,4,0
39,LONS-LE-SAUNIER,0,6
40,MONT-DE-MARSAN,0,2
41,BLOIS,0,2
42,SAINT-ETIENNE,2,1
43,LE PUY-EN-VELAY,0,3
44,NANTES,7,0
45,ORLEANS,3,1
46,CAHORS,0,6
47,AGEN,0,3
48,MENDE,0,4
49,ANGERS,4,0
50,SAINT-LO,2,1
51,CHALONS-EN-CHAMPAGNE,0,5
52,CHAUMONT,0,0
53,LAVAL,0,4
54,NANCY,2,1
55,BAR-LE-DUC,2,5
56,VANNES,2,3
57,METZ,7,0
58,NEVERS,0,4
59,LILLE,3,1
60,BEAUVAIS,1,0
61,ALENCON,0,2
62,ARRAS,5,0
63,CLERMONT-FERRAND,7,3
64,PAU,3,1
65,TARBES,0,3
66,PERPIGNAN,4,1
67,STRASBOURG,4,0
68,COLMAR,2,1
69,LYON,3,1
70,VESOUL,2,7
71,MACON,8,0
72,LE MANS,5,0
73,CHAMBERY,2,0
74,ANNECY,7,0
76,ROUEN,5,0
77,MELUN,4,0
78,VERSAILLES,2,0
79,NIORT,6,0
80,AMIENS,2,0
81,ALBI,1,7
82,MONTAUBAN,0,2
83,TOULON,3,1
84,AVIGNON,0,5
85,LA ROCHE-SUR-YON,5,0
86,POITIERS,2,0
87,LIMOGES,2,1
88,EPINAL,0,3
89,AUXERRE,3,0
90,BELFORT,2,0
91,EVRY,1,1
92,NANTERRE,3,0
93,BOBIGNY,2,0
94,CRETEIL,2,2
95,PONTOISE,4,2
